         74060 function calls in 0.034 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.004    0.000    0.901    0.009 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\bot.py:74(simulate_bot_tick)
       98    0.002    0.000    0.236    0.002 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\signal_interpreter.py:266(check_for_circling)
      162    0.247    0.002    0.450    0.003 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pathfinding_logics.py:272(bfs_distances_from)
      107    0.000    0.000    0.001    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pathfinding_logics.py:355(follow_a_star_path)
      100    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\highlighting.py:44(highlight_gems)
      103    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\checks.py:11(check_if_this_tick_has_gem)
      198    0.001    0.000    0.001    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\signal_interpreter.py:18(get_signal_from_known_gems)
      100    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\highlighting.py:115(highlight_fov)
      266    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\signal_interpreter.py:13(calculate_signal)
      100    0.001    0.000    0.001    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\highlighting.py:33(highlight_path)
    97258    0.013    0.000    0.013    0.000 {method 'append' of 'collections.deque' objects}
    94144    0.011    0.000    0.011    0.000 {method 'popleft' of 'collections.deque' objects}
      282    0.000    0.000    0.000    0.000 {built-in method math.hypot}
    32057    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
      200    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
    23763    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     5884    0.001    0.000    0.002    0.000 {method 'remove' of 'list' objects}
      100    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
   107273    0.011    0.000    0.011    0.000 {built-in method builtins.len}
      100    0.001    0.000    0.001    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     9388    0.005    0.000    0.006    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\zustand.py:14(__sub__)
       16    0.000    0.000    0.333    0.021 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pfad_und_routen.py:54(check_for_new_path)
     5099    0.025    0.000    0.041    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pathfinding_logics.py:194(get_neighbours_of_node)
